Channel Id,Channel Url,Channel Title
UCQeRaTukNYft1_6AZPACnog,http://www.youtube.com/channel/UCQeRaTukNYft1_6AZPACnog,Asmongold TV
UCQkd05iAYed2-LOmhjzDG6g,http://www.youtube.com/channel/UCQkd05iAYed2-LOmhjzDG6g,LowSpecGamer
UCQlC9iwSZ2a0-96RLleG_xg,http://www.youtube.com/channel/UCQlC9iwSZ2a0-96RLleG_xg,Liliputing
UCR9X2tT0_WVfuYO17vqstlA,http://www.youtube.com/channel/UCR9X2tT0_WVfuYO17vqstlA,Josh Strife Plays
UCRG_N2uO405WO4P3Ruef9NA,http://www.youtube.com/channel/UCRG_N2uO405WO4P3Ruef9NA,The Friday Checkout
UCRWyPm7MrfotIYF8A8MGV3g,http://www.youtube.com/channel/UCRWyPm7MrfotIYF8A8MGV3g,Josh Strife Hayes
UCRg2tBkpKYDxOKtX3GvLZcQ,http://www.youtube.com/channel/UCRg2tBkpKYDxOKtX3GvLZcQ,Retro Dodo
UCRjSO-juFtngAeJGJRMdIZw,http://www.youtube.com/channel/UCRjSO-juFtngAeJGJRMdIZw,Gary Explains
UCS-WzPVpAAli-1IfEG2lN8A,http://www.youtube.com/channel/UCS-WzPVpAAli-1IfEG2lN8A,Michael MJD
UCSOpcUkE-is7u7c4AkLgqTw,http://www.youtube.com/channel/UCSOpcUkE-is7u7c4AkLgqTw,MrMobile [Michael Fisher]
UCShHFwKyhcDo3g7hr4f1R8A,http://www.youtube.com/channel/UCShHFwKyhcDo3g7hr4f1R8A,World Science Festival
UCSju5G2aFaWMqn-_0YBtq5A,http://www.youtube.com/channel/UCSju5G2aFaWMqn-_0YBtq5A,Stand-up Maths
UCT6LaAC9VckZYJUzutUW3PQ,http://www.youtube.com/channel/UCT6LaAC9VckZYJUzutUW3PQ,Game Sack
UCT_QEGH0myu6lgbE_biQPuw,http://www.youtube.com/channel/UCT_QEGH0myu6lgbE_biQPuw,Drew Talbert
UCVls1GmFKf6WlTraIb_IaJg,http://www.youtube.com/channel/UCVls1GmFKf6WlTraIb_IaJg,DistroTube
UCW0gH2G-cMKAEjEkI4YhnPA,http://www.youtube.com/channel/UCW0gH2G-cMKAEjEkI4YhnPA,Nerd of the Rings
UCW6J17hZ_Vgr6cQgd_kHt5A,http://www.youtube.com/channel/UCW6J17hZ_Vgr6cQgd_kHt5A,MobileTechReview
UCW_sIU3MaWW5cXSjGqNIvbw,http://www.youtube.com/channel/UCW_sIU3MaWW5cXSjGqNIvbw,Wicked Gamer & Collector
UCWepAwKTPXi67ZQ_AsPjF-g,http://www.youtube.com/channel/UCWepAwKTPXi67ZQ_AsPjF-g,Watch Restoration vlog
UCXD2cy-5xnwTcvTNoUqbnKw,http://www.youtube.com/channel/UCXD2cy-5xnwTcvTNoUqbnKw,sneekylinux
UCXa6sE6cKXcQ97vI0Emn1XA,http://www.youtube.com/channel/UCXa6sE6cKXcQ97vI0Emn1XA,Egee
UCYDVFfp_AN1WBiNwaf9522w,http://www.youtube.com/channel/UCYDVFfp_AN1WBiNwaf9522w,Dr. Glaucomflecken
UCYZtp0YIxYOipX15v_h_jnA,http://www.youtube.com/channel/UCYZtp0YIxYOipX15v_h_jnA,Crowbcat
UCYcTUKRTJsQ32h6mL8bSPzA,http://www.youtube.com/channel/UCYcTUKRTJsQ32h6mL8bSPzA,Tech Shan®
UCYt9E2d_GCrPzquW-5MZwmQ,http://www.youtube.com/channel/UCYt9E2d_GCrPzquW-5MZwmQ,The Guru Meditation
UCYvEb6iLPxLPZTe6NcUUUeA,http://www.youtube.com/channel/UCYvEb6iLPxLPZTe6NcUUUeA,j aubrey
UCYzwyzV2WNMgrL6RKSF8nrg,http://www.youtube.com/channel/UCYzwyzV2WNMgrL6RKSF8nrg,ProcrastiTara
UCZFipeZtQM5CKUjx6grh54g,http://www.youtube.com/channel/UCZFipeZtQM5CKUjx6grh54g,Isaac Arthur
UCZYTClx2T1of7BRZ86-8fow,http://www.youtube.com/channel/UCZYTClx2T1of7BRZ86-8fow,SciShow
UC_0CVCfC_3iuHqmyClu59Uw,http://www.youtube.com/channel/UC_0CVCfC_3iuHqmyClu59Uw,ETA PRIME
UC__Oy3QdB3d9_FHO_XG1PZg,http://www.youtube.com/channel/UC__Oy3QdB3d9_FHO_XG1PZg,ReviewTechUSA
UCaTSjmqzOO-P8HmtVW3t7sA,http://www.youtube.com/channel/UCaTSjmqzOO-P8HmtVW3t7sA,Todd in the Shadows
UCaq2N6CicFNvsbPN4V-MwqA,http://www.youtube.com/channel/UCaq2N6CicFNvsbPN4V-MwqA,Callum Upton
UCbQ4fbi0fy3d6Hb7q2FIATw,http://www.youtube.com/channel/UCbQ4fbi0fy3d6Hb7q2FIATw,It'sAGundam
UCbRPZ11S1quJ4ESoj42A3ug,http://www.youtube.com/channel/UCbRPZ11S1quJ4ESoj42A3ug,Games For Everyone
UCbWcXB0PoqOsAvAdfzWMf0w,http://www.youtube.com/channel/UCbWcXB0PoqOsAvAdfzWMf0w,Fredrik Knudsen
UCbiGcwDWZjz05njNPrJU7jA,http://www.youtube.com/channel/UCbiGcwDWZjz05njNPrJU7jA,ExplainingComputers
UCcKSEzhtEkzfCT8_DzyMfpg,http://www.youtube.com/channel/UCcKSEzhtEkzfCT8_DzyMfpg,KiraTV
UCciQ8wFcVoIIMi-lfu8-cjQ,http://www.youtube.com/channel/UCciQ8wFcVoIIMi-lfu8-cjQ,Anton Petrov
UCcp9uRaBwInxl_SZqGRksDA,http://www.youtube.com/channel/UCcp9uRaBwInxl_SZqGRksDA,HidaMari Cooking
UCd-Wye9HJVxJFNtNkpA1BHQ,http://www.youtube.com/channel/UCd-Wye9HJVxJFNtNkpA1BHQ,Ross McIntyre
UCd4XwUn2Lure2NHHjukoCwA,http://www.youtube.com/channel/UCd4XwUn2Lure2NHHjukoCwA,Linux For Everyone
UCeCJB88u93eq91U0rlJsW-A,http://www.youtube.com/channel/UCeCJB88u93eq91U0rlJsW-A,Overlord DVD
UCeR0n8d3ShTn_yrMhpwyE1Q,http://www.youtube.com/channel/UCeR0n8d3ShTn_yrMhpwyE1Q,TheReportOfTheWeek
UCeYuZB53ge-tdHWUDF87xQw,http://www.youtube.com/channel/UCeYuZB53ge-tdHWUDF87xQw,Rock N' Roll True Stories
UCebx-TT_kPognZx1nIfnb_g,http://www.youtube.com/channel/UCebx-TT_kPognZx1nIfnb_g,Griffin Gaming
UCefAbzsWZE4uXU-mqQMrr4Q,http://www.youtube.com/channel/UCefAbzsWZE4uXU-mqQMrr4Q,The Retro Future
UCerEIdrEW-IqwvlH8lTQUJQ,http://www.youtube.com/channel/UCerEIdrEW-IqwvlH8lTQUJQ,Tech Tangents
UCf1Wt2HEllOSeQzKz2-GNDA,http://www.youtube.com/channel/UCf1Wt2HEllOSeQzKz2-GNDA,CAMELOT331
UCf45JS_dhms2fPfxTiqDZ0w,http://www.youtube.com/channel/UCf45JS_dhms2fPfxTiqDZ0w,SOFTDRINKTV
UCfOPL5nYErWwZ_feQavvqeA,http://www.youtube.com/channel/UCfOPL5nYErWwZ_feQavvqeA,James Tullos
UCftUpOO4h9EgH0eDOZtjzcA,http://www.youtube.com/channel/UCftUpOO4h9EgH0eDOZtjzcA,Jan Beta
